Date,Steps,Calories,HR_Lowest,HR_Highest,HR_Average,Total_Kilometers_Moved,Active_Hours,Floors_Climbed,UV_Exposure_Minutes,Total_Seconds_All_Activities,Total_Calories_All_Activities,Sleep_Events,Sleep_Total_Calories,Total_Seconds_Slept,Run_Events,Run_Total_Seconds,Total_Kilometers_Ran,Run_Total_Calories,Bike_Events,Bike_Total_Seconds,Total_Kilometers_Biked,Bike_Total_Calories,Walk_Events,Walk_Total_Seconds,Total_Kilometers_Walked,Walk_Total_Calories,Exercise_Events,Exercise_Total_Seconds,Exercise_Total_Calories,Guided_Workout_Events,Guided_Workout_Total_Seconds,Guided_Workout_Total_Calories,Golf_Events,Golf_Total_Seconds,Total_Kilometers_Golfed,Golf_Total_Calories
22/10/2016,19429,3006,,,,15.39685,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/10/2016,3553,2385,,,,2.81515,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/10/2016,15864,2754,,,,12.57163,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/10/2016,23684,3128,,,,18.76908,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/10/2016,2717,1796,,,,2.1531,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/10/2016,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/10/2016,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
